Data,Ora,Squadra Casa,Squadra Trasferta,Gol Casa,Gol Trasferta,Stato
27/08/2025,21:00,Celta Vigo,Real Betis,1,1,Ended
23/09/2025,19:00,Athletic Club,Girona FC,1,1,Ended
23/09/2025,19:00,Espanyol,Valencia,2,2,Ended
23/09/2025,21:30,Levante UD,Real Madrid,1,4,Ended
23/09/2025,21:30,Sevilla,Villarreal,1,2,Ended
24/09/2025,19:00,Getafe,Deportivo Alavés,1,1,Ended
24/09/2025,21:30,Atlético Madrid,Rayo Vallecano,3,2,Ended
24/09/2025,21:30,Real Sociedad,Mallorca,1,0,Ended
25/09/2025,19:30,Osasuna,Elche,1,1,Ended
25/09/2025,21:30,Real Oviedo,Barcelona,1,3,Ended
