Data,Ora,Squadra Casa,Squadra Trasferta,Gol Casa,Gol Trasferta,Stato
03/09/2025,21:00,Osasuna,Getafe,-,-,Postponed
03/10/2025,21:00,Osasuna,Getafe,2,1,Ended
04/10/2025,14:00,Real Oviedo,Levante UD,0,2,Ended
04/10/2025,16:15,Girona FC,Valencia,2,1,Ended
04/10/2025,18:30,Athletic Club,Mallorca,2,1,Ended
04/10/2025,21:00,Real Madrid,Villarreal,3,1,Ended
05/10/2025,14:00,Deportivo Alavés,Elche,3,1,Ended
05/10/2025,16:15,Sevilla,Barcelona,4,1,Ended
05/10/2025,18:30,Espanyol,Real Betis,1,2,Ended
05/10/2025,18:30,Real Sociedad,Rayo Vallecano,0,1,Ended
05/10/2025,21:00,Celta Vigo,Atlético Madrid,1,1,Ended
