Data,Ora,Squadra Casa,Squadra Trasferta,Gol Casa,Gol Trasferta,Stato
12/12/2025,21:00,Real Sociedad,Girona FC,1,2,Ended
13/12/2025,14:00,Atlético Madrid,Valencia,2,1,Ended
13/12/2025,16:15,Mallorca,Elche,3,1,Ended
13/12/2025,18:30,Barcelona,Osasuna,2,0,Ended
13/12/2025,21:00,Getafe,Espanyol,0,1,Ended
14/12/2025,14:00,Sevilla,Real Oviedo,4,0,Ended
14/12/2025,16:15,Celta Vigo,Athletic Club,2,0,Ended
14/12/2025,18:30,Levante UD,Villarreal,-,-,Postponed
14/12/2025,21:00,Deportivo Alavés,Real Madrid,1,2,Ended
15/12/2025,21:00,Rayo Vallecano,Real Betis,0,0,Ended
