Data,Ora,Squadra Casa,Squadra Trasferta,Gol Casa,Gol Trasferta,Stato
29/08/2025,19:30,Elche,Levante UD,2,0,Ended
29/08/2025,21:30,Valencia,Getafe,3,0,Ended
30/08/2025,17:00,Deportivo Alavés,Atlético Madrid,1,1,Ended
30/08/2025,19:00,Real Oviedo,Real Sociedad,1,0,Ended
30/08/2025,19:30,Girona FC,Sevilla,0,2,Ended
30/08/2025,21:30,Real Madrid,Mallorca,2,1,Ended
31/08/2025,17:00,Celta Vigo,Villarreal,1,1,Ended
31/08/2025,19:00,Real Betis,Athletic Club,1,2,Ended
31/08/2025,19:30,Espanyol,Osasuna,1,0,Ended
31/08/2025,21:30,Rayo Vallecano,Barcelona,1,1,Ended
