Nome Squadra,Partite con Somma Gol >= 3,Gol Fatti,Gol Subiti
Barcelona,19,60,23
Sevilla,15,29,37
Mallorca,14,28,34
Real Madrid,13,47,18
Real Sociedad,12,30,30
Elche,12,30,32
Girona FC,11,21,36
Real Betis,11,36,28
Villarreal,11,39,23
Deportivo Alavés,10,20,27
Athletic Club,10,21,31
Atlético Madrid,10,38,17
Valencia,10,23,35
Osasuna,10,26,27
Espanyol,10,26,27
Levante UD,10,24,34
Celta Vigo,9,29,23
Rayo Vallecano,9,18,30
Getafe,7,16,27
Real Oviedo,7,12,34
