Data,Ora,Squadra Casa,Squadra Trasferta,Gol Casa,Gol Trasferta,Stato
16/01/2026,21:00,Espanyol,Girona FC,0,2,Ended
17/01/2026,14:00,Real Madrid,Levante UD,2,0,Ended
17/01/2026,16:15,Mallorca,Athletic Club,3,2,Ended
17/01/2026,18:30,Osasuna,Real Oviedo,3,2,Ended
17/01/2026,21:00,Real Betis,Villarreal,2,0,Ended
18/01/2026,14:00,Getafe,Valencia,0,1,Ended
18/01/2026,16:15,Atlético Madrid,Deportivo Alavés,1,0,Ended
18/01/2026,18:30,Celta Vigo,Rayo Vallecano,3,0,Ended
18/01/2026,21:00,Real Sociedad,Barcelona,2,1,Ended
19/01/2026,21:00,Elche,Sevilla,2,2,Ended
