Data,Ora,Squadra Casa,Squadra Trasferta,Gol Casa,Gol Trasferta,Stato
19/09/2025,21:00,Real Betis,Real Sociedad,3,1,Ended
20/09/2025,14:00,Girona FC,Levante UD,0,4,Ended
20/09/2025,16:15,Real Madrid,Espanyol,2,0,Ended
20/09/2025,18:30,Deportivo Alavés,Sevilla,1,2,Ended
20/09/2025,18:30,Villarreal,Osasuna,2,1,Ended
20/09/2025,21:00,Valencia,Athletic Club,2,0,Ended
21/09/2025,14:00,Rayo Vallecano,Celta Vigo,1,1,Ended
21/09/2025,16:15,Mallorca,Atlético Madrid,1,1,Ended
21/09/2025,18:30,Elche,Real Oviedo,1,0,Ended
21/09/2025,21:00,Barcelona,Getafe,3,0,Ended
