Data,Ora,Squadra Casa,Squadra Trasferta,Gol Casa,Gol Trasferta,Stato
31/10/2025,21:00,Getafe,Girona FC,2,1,Ended
01/11/2025,14:00,Villarreal,Rayo Vallecano,4,0,Ended
01/11/2025,16:15,Atlético Madrid,Sevilla,3,0,Ended
01/11/2025,18:30,Real Sociedad,Athletic Club,3,2,Ended
01/11/2025,21:00,Real Madrid,Valencia,4,0,Ended
02/11/2025,14:00,Levante UD,Celta Vigo,1,2,Ended
02/11/2025,16:15,Deportivo Alavés,Espanyol,2,1,Ended
02/11/2025,18:30,Barcelona,Elche,3,1,Ended
02/11/2025,21:00,Real Betis,Mallorca,3,0,Ended
03/11/2025,21:00,Real Oviedo,Osasuna,0,0,Ended
