Data,Ora,Squadra Casa,Squadra Trasferta,Gol Casa,Gol Trasferta,Stato
17/10/2025,21:00,Real Oviedo,Espanyol,0,2,Ended
18/10/2025,14:00,Sevilla,Mallorca,1,3,Ended
18/10/2025,16:15,Barcelona,Girona FC,2,1,Ended
18/10/2025,18:30,Villarreal,Real Betis,2,2,Ended
18/10/2025,21:00,Atlético Madrid,Osasuna,1,0,Ended
19/10/2025,14:00,Elche,Athletic Club,0,0,Ended
19/10/2025,16:15,Celta Vigo,Real Sociedad,1,1,Ended
19/10/2025,18:30,Levante UD,Rayo Vallecano,0,3,Ended
19/10/2025,21:00,Getafe,Real Madrid,0,1,Ended
20/10/2025,21:00,Deportivo Alavés,Valencia,0,0,Ended
