Data,Ora,Squadra Casa,Squadra Trasferta,Gol Casa,Gol Trasferta,Stato
24/10/2025,21:00,Real Sociedad,Sevilla,2,1,Ended
25/10/2025,14:00,Girona FC,Real Oviedo,3,3,Ended
25/10/2025,16:15,Espanyol,Elche,1,0,Ended
25/10/2025,18:30,Athletic Club,Getafe,0,1,Ended
25/10/2025,21:00,Valencia,Villarreal,0,2,Ended
26/10/2025,14:00,Mallorca,Levante UD,1,1,Ended
26/10/2025,16:15,Real Madrid,Barcelona,2,1,Ended
26/10/2025,18:30,Osasuna,Celta Vigo,2,3,Ended
26/10/2025,21:00,Rayo Vallecano,Deportivo Alavés,1,0,Ended
27/10/2025,21:00,Real Betis,Atlético Madrid,0,2,Ended
