Data,Ora,Squadra Casa,Squadra Trasferta,Gol Casa,Gol Trasferta,Stato
07/11/2025,21:00,Elche,Real Sociedad,1,1,Ended
08/11/2025,14:00,Girona FC,Deportivo Alavés,1,0,Ended
08/11/2025,16:15,Sevilla,Osasuna,1,0,Ended
08/11/2025,18:30,Atlético Madrid,Levante UD,3,1,Ended
08/11/2025,21:00,Espanyol,Villarreal,0,2,Ended
09/11/2025,14:00,Athletic Club,Real Oviedo,1,0,Ended
09/11/2025,16:15,Rayo Vallecano,Real Madrid,0,0,Ended
09/11/2025,18:30,Mallorca,Getafe,1,0,Ended
09/11/2025,18:30,Valencia,Real Betis,1,1,Ended
09/11/2025,21:00,Celta Vigo,Barcelona,2,4,Ended
