Data,Ora,Squadra Casa,Squadra Trasferta,Gol Casa,Gol Trasferta,Stato
02/12/2025,21:00,Barcelona,Atlético Madrid,3,1,Ended
03/12/2025,19:00,Athletic Club,Real Madrid,0,3,Ended
09/01/2026,21:00,Getafe,Real Sociedad,1,2,Ended
10/01/2026,14:00,Real Oviedo,Real Betis,1,1,Ended
10/01/2026,16:15,Villarreal,Deportivo Alavés,3,1,Ended
10/01/2026,18:30,Girona FC,Osasuna,1,0,Ended
10/01/2026,21:00,Valencia,Elche,1,1,Ended
11/01/2026,14:00,Rayo Vallecano,Mallorca,2,1,Ended
11/01/2026,16:15,Levante UD,Espanyol,1,1,Ended
12/01/2026,21:00,Sevilla,Celta Vigo,0,1,Ended
