Data,Ora,Squadra Casa,Squadra Trasferta,Gol Casa,Gol Trasferta,Stato
19/12/2025,21:00,Valencia,Mallorca,1,1,Ended
20/12/2025,14:00,Real Oviedo,Celta Vigo,0,0,Ended
20/12/2025,16:15,Levante UD,Real Sociedad,1,1,Ended
20/12/2025,18:30,Osasuna,Deportivo Alavés,3,0,Ended
20/12/2025,21:00,Real Madrid,Sevilla,2,0,Ended
21/12/2025,14:00,Girona FC,Atlético Madrid,0,3,Ended
21/12/2025,16:15,Villarreal,Barcelona,0,2,Ended
21/12/2025,18:30,Elche,Rayo Vallecano,4,0,Ended
21/12/2025,21:00,Real Betis,Getafe,4,0,Ended
22/12/2025,21:00,Athletic Club,Espanyol,1,2,Ended
