Data,Ora,Squadra Casa,Squadra Trasferta,Gol Casa,Gol Trasferta,Stato
12/09/2025,21:00,Sevilla,Elche,2,2,Ended
13/09/2025,14:00,Getafe,Real Oviedo,2,0,Ended
13/09/2025,16:15,Real Sociedad,Real Madrid,1,2,Ended
13/09/2025,18:30,Athletic Club,Deportivo Alavés,0,1,Ended
13/09/2025,21:00,Atlético Madrid,Villarreal,2,0,Ended
14/09/2025,14:00,Celta Vigo,Girona FC,1,1,Ended
14/09/2025,16:15,Levante UD,Real Betis,2,2,Ended
14/09/2025,18:30,Osasuna,Rayo Vallecano,2,0,Ended
14/09/2025,21:00,Barcelona,Valencia,6,0,Ended
15/09/2025,21:00,Espanyol,Mallorca,3,2,Ended
