Data,Ora,Squadra Casa,Squadra Trasferta,Gol Casa,Gol Trasferta,Stato
05/12/2025,21:00,Real Oviedo,Mallorca,0,0,Ended
06/12/2025,14:00,Villarreal,Getafe,2,0,Ended
06/12/2025,16:15,Deportivo Alavés,Real Sociedad,1,0,Ended
06/12/2025,18:30,Real Betis,Barcelona,3,5,Ended
06/12/2025,21:00,Athletic Club,Atlético Madrid,1,0,Ended
07/12/2025,14:00,Elche,Girona FC,3,0,Ended
07/12/2025,16:15,Valencia,Sevilla,1,1,Ended
07/12/2025,18:30,Espanyol,Rayo Vallecano,1,0,Ended
07/12/2025,21:00,Real Madrid,Celta Vigo,0,2,Ended
08/12/2025,21:00,Osasuna,Levante UD,2,0,Ended
