Data,Ora,Squadra Casa,Squadra Trasferta,Gol Casa,Gol Trasferta,Stato
26/09/2025,21:00,Girona FC,Espanyol,0,0,Ended
27/09/2025,14:00,Getafe,Levante UD,1,1,Ended
27/09/2025,16:15,Atlético Madrid,Real Madrid,5,2,Ended
27/09/2025,18:30,Mallorca,Deportivo Alavés,1,0,Ended
27/09/2025,21:00,Villarreal,Athletic Club,1,0,Ended
28/09/2025,14:00,Rayo Vallecano,Sevilla,0,1,Ended
28/09/2025,16:15,Elche,Celta Vigo,2,1,Ended
28/09/2025,18:30,Barcelona,Real Sociedad,2,1,Ended
28/09/2025,21:00,Real Betis,Osasuna,2,0,Ended
30/09/2025,20:00,Valencia,Real Oviedo,1,2,Ended
