Data,Ora,Squadra Casa,Squadra Trasferta,Gol Casa,Gol Trasferta,Stato
21/11/2025,21:00,Valencia,Levante UD,1,0,Ended
22/11/2025,14:00,Deportivo Alavés,Celta Vigo,0,1,Ended
22/11/2025,16:15,Barcelona,Athletic Club,4,0,Ended
22/11/2025,18:30,Osasuna,Real Sociedad,1,3,Ended
22/11/2025,21:00,Villarreal,Mallorca,2,1,Ended
23/11/2025,14:00,Real Oviedo,Rayo Vallecano,0,0,Ended
23/11/2025,16:15,Real Betis,Girona FC,1,1,Ended
23/11/2025,18:30,Getafe,Atlético Madrid,0,1,Ended
23/11/2025,21:00,Elche,Real Madrid,2,2,Ended
24/11/2025,21:00,Espanyol,Sevilla,2,1,Ended
