Data,Ora,Squadra Casa,Squadra Trasferta,Gol Casa,Gol Trasferta,Stato
02/01/2026,21:00,Rayo Vallecano,Getafe,1,1,Ended
03/01/2026,14:00,Celta Vigo,Valencia,4,1,Ended
03/01/2026,16:15,Osasuna,Athletic Club,1,1,Ended
03/01/2026,18:30,Elche,Villarreal,1,3,Ended
03/01/2026,21:00,Espanyol,Barcelona,0,2,Ended
04/01/2026,14:00,Sevilla,Levante UD,0,3,Ended
04/01/2026,16:15,Real Madrid,Real Betis,5,1,Ended
04/01/2026,18:30,Deportivo Alavés,Real Oviedo,1,1,Ended
04/01/2026,18:30,Mallorca,Girona FC,1,2,Ended
04/01/2026,21:00,Real Sociedad,Atlético Madrid,1,1,Ended
