Data,Ora,Squadra Casa,Squadra Trasferta,Gol Casa,Gol Trasferta,Stato
15/08/2025,19:00,Girona FC,Rayo Vallecano,1,3,Ended
15/08/2025,21:30,Villarreal,Real Oviedo,2,0,Ended
16/08/2025,19:30,Mallorca,Barcelona,0,3,Ended
16/08/2025,21:30,Deportivo Alavés,Levante UD,2,1,Ended
16/08/2025,21:30,Valencia,Real Sociedad,1,1,Ended
17/08/2025,17:00,Celta Vigo,Getafe,0,2,Ended
17/08/2025,19:30,Athletic Club,Sevilla,3,2,Ended
17/08/2025,21:30,Espanyol,Atlético Madrid,2,1,Ended
18/08/2025,21:00,Elche,Real Betis,1,1,Ended
19/08/2025,21:00,Real Madrid,Osasuna,1,0,Ended
