Data,Ora,Squadra Casa,Squadra Trasferta,Gol Casa,Gol Trasferta,Stato
23/01/2026,21:00,Levante UD,Elche,3,2,Ended
24/01/2026,14:00,Rayo Vallecano,Osasuna,1,3,Ended
24/01/2026,16:15,Valencia,Espanyol,3,2,Ended
24/01/2026,18:30,Sevilla,Athletic Club,2,1,Ended
24/01/2026,21:00,Villarreal,Real Madrid,0,2,Ended
25/01/2026,14:00,Atlético Madrid,Mallorca,3,0,Ended
25/01/2026,16:15,Barcelona,Real Oviedo,3,0,Ended
25/01/2026,18:30,Real Sociedad,Celta Vigo,3,1,Ended
25/01/2026,21:00,Deportivo Alavés,Real Betis,2,1,Ended
26/01/2026,21:00,Girona FC,Getafe,1,1,Ended
