Data,Ora,Squadra Casa,Squadra Trasferta,Gol Casa,Gol Trasferta,Stato
28/11/2025,21:00,Getafe,Elche,1,0,Ended
29/11/2025,14:00,Mallorca,Osasuna,2,2,Ended
29/11/2025,16:15,Barcelona,Deportivo Alavés,3,1,Ended
29/11/2025,18:30,Levante UD,Athletic Club,0,2,Ended
29/11/2025,21:00,Atlético Madrid,Real Oviedo,2,0,Ended
30/11/2025,14:00,Real Sociedad,Villarreal,2,3,Ended
30/11/2025,16:15,Sevilla,Real Betis,0,2,Ended
30/11/2025,18:30,Celta Vigo,Espanyol,0,1,Ended
30/11/2025,21:00,Girona FC,Real Madrid,1,1,Ended
01/12/2025,21:00,Rayo Vallecano,Valencia,1,1,Ended
