Data,Ora,Squadra Casa,Squadra Trasferta,Gol Casa,Gol Trasferta,Stato
30/01/2026,21:00,Espanyol,Deportivo Alavés,1,2,Ended
31/01/2026,14:00,Real Oviedo,Girona FC,1,0,Ended
31/01/2026,16:15,Osasuna,Villarreal,2,2,Ended
31/01/2026,18:30,Levante UD,Atlético Madrid,0,0,Ended
31/01/2026,21:00,Elche,Barcelona,1,3,Ended
01/02/2026,14:00,Real Madrid,Rayo Vallecano,2,1,Ended
01/02/2026,16:15,Real Betis,Valencia,2,1,Ended
01/02/2026,18:30,Getafe,Celta Vigo,0,0,Ended
01/02/2026,21:00,Athletic Club,Real Sociedad,1,1,Ended
02/02/2026,21:00,Mallorca,Sevilla,4,1,Ended
