Data,Ora,Squadra Casa,Squadra Trasferta,Gol Casa,Gol Trasferta,Stato
03/10/2025,20:30,TSG Hoffenheim,1. FC Köln,0,1,Ended
04/10/2025,15:30,Bayer 04 Leverkusen,1. FC Union Berlin,2,0,Ended
04/10/2025,15:30,Borussia Dortmund,RB Leipzig,1,1,Ended
04/10/2025,15:30,FC Augsburg,VfL Wolfsburg,3,1,Ended
04/10/2025,15:30,SV Werder Bremen,FC St. Pauli,1,0,Ended
04/10/2025,18:30,Eintracht Frankfurt,FC Bayern München,0,3,Ended
05/10/2025,15:30,VfB Stuttgart,1. FC Heidenheim,1,0,Ended
05/10/2025,17:30,Hamburger SV,1. FSV Mainz 05,4,0,Ended
05/10/2025,19:30,Borussia M'gladbach,SC Freiburg,0,0,Ended
