Data,Ora,Squadra Casa,Squadra Trasferta,Gol Casa,Gol Trasferta,Stato
12/09/2025,20:30,Bayer 04 Leverkusen,Eintracht Frankfurt,3,1,Ended
13/09/2025,15:30,1. FC Heidenheim,Borussia Dortmund,0,2,Ended
13/09/2025,15:30,1. FC Union Berlin,TSG Hoffenheim,2,4,Ended
13/09/2025,15:30,1. FSV Mainz 05,RB Leipzig,0,1,Ended
13/09/2025,15:30,SC Freiburg,VfB Stuttgart,3,1,Ended
13/09/2025,15:30,VfL Wolfsburg,1. FC Köln,3,3,Ended
13/09/2025,18:30,FC Bayern München,Hamburger SV,5,0,Ended
14/09/2025,15:30,FC St. Pauli,FC Augsburg,2,1,Ended
14/09/2025,17:30,Borussia M'gladbach,SV Werder Bremen,0,4,Ended
