Data,Ora,Squadra Casa,Squadra Trasferta,Gol Casa,Gol Trasferta,Stato
19/12/2025,20:30,Borussia Dortmund,Borussia M'gladbach,2,0,Ended
20/12/2025,15:30,1. FC Köln,1. FC Union Berlin,0,1,Ended
20/12/2025,15:30,FC Augsburg,SV Werder Bremen,0,0,Ended
20/12/2025,15:30,Hamburger SV,Eintracht Frankfurt,1,1,Ended
20/12/2025,15:30,VfB Stuttgart,TSG Hoffenheim,0,0,Ended
20/12/2025,15:30,VfL Wolfsburg,SC Freiburg,3,4,Ended
20/12/2025,18:30,RB Leipzig,Bayer 04 Leverkusen,1,3,Ended
21/12/2025,15:30,1. FSV Mainz 05,FC St. Pauli,0,0,Ended
21/12/2025,17:30,1. FC Heidenheim,FC Bayern München,0,4,Ended
