Data,Ora,Squadra Casa,Squadra Trasferta,Gol Casa,Gol Trasferta,Stato
12/12/2025,20:30,1. FC Union Berlin,RB Leipzig,3,1,Ended
13/12/2025,15:30,Borussia M'gladbach,VfL Wolfsburg,1,3,Ended
13/12/2025,15:30,Eintracht Frankfurt,FC Augsburg,1,0,Ended
13/12/2025,15:30,FC St. Pauli,1. FC Heidenheim,2,1,Ended
13/12/2025,15:30,TSG Hoffenheim,Hamburger SV,4,1,Ended
13/12/2025,18:30,Bayer 04 Leverkusen,1. FC Köln,2,0,Ended
14/12/2025,15:30,SC Freiburg,Borussia Dortmund,1,1,Ended
14/12/2025,17:30,FC Bayern München,1. FSV Mainz 05,2,2,Ended
14/12/2025,19:30,SV Werder Bremen,VfB Stuttgart,0,4,Ended
