Data,Ora,Squadra Casa,Squadra Trasferta,Gol Casa,Gol Trasferta,Stato
07/11/2025,20:30,SV Werder Bremen,VfL Wolfsburg,2,1,Ended
08/11/2025,15:30,1. FC Union Berlin,FC Bayern München,2,2,Ended
08/11/2025,15:30,Bayer 04 Leverkusen,1. FC Heidenheim,6,0,Ended
08/11/2025,15:30,Hamburger SV,Borussia Dortmund,1,1,Ended
08/11/2025,15:30,TSG Hoffenheim,RB Leipzig,3,1,Ended
08/11/2025,18:30,Borussia M'gladbach,1. FC Köln,3,1,Ended
09/11/2025,15:30,SC Freiburg,FC St. Pauli,2,1,Ended
09/11/2025,17:30,VfB Stuttgart,FC Augsburg,3,2,Ended
09/11/2025,19:30,Eintracht Frankfurt,1. FSV Mainz 05,1,0,Ended
