Data,Ora,Squadra Casa,Squadra Trasferta,Gol Casa,Gol Trasferta,Stato
21/11/2025,20:30,1. FSV Mainz 05,TSG Hoffenheim,1,1,Ended
22/11/2025,15:30,1. FC Heidenheim,Borussia M'gladbach,0,3,Ended
22/11/2025,15:30,Borussia Dortmund,VfB Stuttgart,3,3,Ended
22/11/2025,15:30,FC Augsburg,Hamburger SV,1,0,Ended
22/11/2025,15:30,FC Bayern München,SC Freiburg,6,2,Ended
22/11/2025,15:30,VfL Wolfsburg,Bayer 04 Leverkusen,1,3,Ended
22/11/2025,18:30,1. FC Köln,Eintracht Frankfurt,3,4,Ended
23/11/2025,15:30,RB Leipzig,SV Werder Bremen,2,0,Ended
23/11/2025,17:30,FC St. Pauli,1. FC Union Berlin,0,1,Ended
