Data,Ora,Squadra Casa,Squadra Trasferta,Gol Casa,Gol Trasferta,Stato
29/08/2025,20:30,Hamburger SV,FC St. Pauli,0,2,Ended
30/08/2025,15:30,RB Leipzig,1. FC Heidenheim,2,0,Ended
30/08/2025,15:30,SV Werder Bremen,Bayer 04 Leverkusen,3,3,Ended
30/08/2025,15:30,TSG Hoffenheim,Eintracht Frankfurt,1,3,Ended
30/08/2025,15:30,VfB Stuttgart,Borussia M'gladbach,1,0,Ended
30/08/2025,18:30,FC Augsburg,FC Bayern München,2,3,Ended
31/08/2025,15:30,VfL Wolfsburg,1. FSV Mainz 05,1,1,Ended
31/08/2025,17:30,Borussia Dortmund,1. FC Union Berlin,3,0,Ended
31/08/2025,19:30,1. FC Köln,SC Freiburg,4,1,Ended
