Data,Ora,Squadra Casa,Squadra Trasferta,Gol Casa,Gol Trasferta,Stato
30/01/2026,20:30,1. FC Köln,VfL Wolfsburg,1,0,Ended
31/01/2026,15:30,Eintracht Frankfurt,Bayer 04 Leverkusen,1,3,Ended
31/01/2026,15:30,FC Augsburg,FC St. Pauli,2,1,Ended
31/01/2026,15:30,RB Leipzig,1. FSV Mainz 05,1,2,Ended
31/01/2026,15:30,SV Werder Bremen,Borussia M'gladbach,1,1,Ended
31/01/2026,15:30,TSG Hoffenheim,1. FC Union Berlin,3,1,Ended
31/01/2026,18:30,Hamburger SV,FC Bayern München,2,2,Ended
01/02/2026,15:30,VfB Stuttgart,SC Freiburg,1,0,Ended
01/02/2026,17:30,Borussia Dortmund,1. FC Heidenheim,3,2,Ended
