Data,Ora,Squadra Casa,Squadra Trasferta,Gol Casa,Gol Trasferta,Stato
17/10/2025,20:30,1. FC Union Berlin,Borussia M'gladbach,3,1,Ended
18/10/2025,15:30,1. FC Heidenheim,SV Werder Bremen,2,2,Ended
18/10/2025,15:30,1. FC Köln,FC Augsburg,1,1,Ended
18/10/2025,15:30,1. FSV Mainz 05,Bayer 04 Leverkusen,3,4,Ended
18/10/2025,15:30,RB Leipzig,Hamburger SV,2,1,Ended
18/10/2025,15:30,VfL Wolfsburg,VfB Stuttgart,0,3,Ended
18/10/2025,18:30,FC Bayern München,Borussia Dortmund,2,1,Ended
19/10/2025,15:30,SC Freiburg,Eintracht Frankfurt,2,2,Ended
19/10/2025,17:30,FC St. Pauli,TSG Hoffenheim,0,3,Ended
