Data,Ora,Squadra Casa,Squadra Trasferta,Gol Casa,Gol Trasferta,Stato
23/01/2026,20:30,FC St. Pauli,Hamburger SV,0,0,Ended
24/01/2026,15:30,1. FC Heidenheim,RB Leipzig,0,3,Ended
24/01/2026,15:30,1. FSV Mainz 05,VfL Wolfsburg,3,1,Ended
24/01/2026,15:30,Bayer 04 Leverkusen,SV Werder Bremen,1,0,Ended
24/01/2026,15:30,Eintracht Frankfurt,TSG Hoffenheim,1,3,Ended
24/01/2026,15:30,FC Bayern München,FC Augsburg,1,2,Ended
24/01/2026,18:30,1. FC Union Berlin,Borussia Dortmund,0,3,Ended
25/01/2026,15:30,Borussia M'gladbach,VfB Stuttgart,0,3,Ended
25/01/2026,17:30,SC Freiburg,1. FC Köln,2,1,Ended
