Data,Ora,Squadra Casa,Squadra Trasferta,Gol Casa,Gol Trasferta,Stato
24/10/2025,20:30,SV Werder Bremen,1. FC Union Berlin,1,0,Ended
25/10/2025,15:30,Eintracht Frankfurt,FC St. Pauli,2,0,Ended
25/10/2025,15:30,FC Augsburg,RB Leipzig,0,6,Ended
25/10/2025,15:30,Hamburger SV,VfL Wolfsburg,0,1,Ended
25/10/2025,15:30,TSG Hoffenheim,1. FC Heidenheim,3,1,Ended
25/10/2025,15:45,Borussia M'gladbach,FC Bayern München,0,3,Ended
25/10/2025,18:30,Borussia Dortmund,1. FC Köln,1,0,Ended
26/10/2025,15:30,Bayer 04 Leverkusen,SC Freiburg,2,0,Ended
26/10/2025,17:30,VfB Stuttgart,1. FSV Mainz 05,2,1,Ended
