Data,Ora,Squadra Casa,Squadra Trasferta,Gol Casa,Gol Trasferta,Stato
19/12/2025,21:15,Estoril Praia,Sporting Braga,1,0,Ended
20/12/2025,19:00,Gil Vicente,Rio Ave,2,2,Ended
20/12/2025,21:30,CF Estrela Amadora,Moreirense,0,0,Ended
21/12/2025,16:30,AVS - Futebol SAD,CD Nacional,2,2,Ended
21/12/2025,19:00,Tondela,Casa Pia,1,2,Ended
21/12/2025,21:30,Santa Clara,FC Arouca,0,0,Ended
22/12/2025,19:45,FC Alverca,FC Porto,0,3,Ended
22/12/2025,21:45,Benfica,Famalicão,1,0,Ended
23/12/2025,21:45,Vitória SC,Sporting CP,1,4,Ended
