Data,Ora,Squadra Casa,Squadra Trasferta,Gol Casa,Gol Trasferta,Stato
12/09/2025,21:15,Benfica,Santa Clara,1,1,Ended
12/09/2025,21:15,FC Alverca,Tondela,1,0,Ended
13/09/2025,16:30,Estoril Praia,AVS - Futebol SAD,3,1,Ended
13/09/2025,16:30,Moreirense,Rio Ave,3,1,Ended
13/09/2025,19:00,FC Porto,CD Nacional,1,0,Ended
13/09/2025,21:30,Famalicão,Sporting CP,1,2,Ended
14/09/2025,16:30,CF Estrela Amadora,Vitória SC,0,2,Ended
14/09/2025,19:00,FC Arouca,Casa Pia,0,2,Ended
14/09/2025,21:30,Sporting Braga,Gil Vicente,0,1,Ended
