Data,Ora,Squadra Casa,Squadra Trasferta,Gol Casa,Gol Trasferta,Stato
15/08/2025,16:45,AVS - Futebol SAD,Casa Pia,0,2,Ended
16/08/2025,16:30,Tondela,Famalicão,0,1,Ended
16/08/2025,19:00,Vitória SC,Estoril Praia,3,2,Ended
16/08/2025,21:30,CF Estrela Amadora,Benfica,0,1,Ended
17/08/2025,16:30,Rio Ave,CD Nacional,1,1,Ended
17/08/2025,19:00,FC Alverca,Sporting Braga,0,3,Ended
17/08/2025,19:00,Santa Clara,Moreirense,0,1,Ended
17/08/2025,21:30,Sporting CP,FC Arouca,6,0,Ended
18/08/2025,21:15,Gil Vicente,FC Porto,0,2,Ended
