Data,Ora,Squadra Casa,Squadra Trasferta,Gol Casa,Gol Trasferta,Stato
03/10/2025,21:15,Casa Pia,Estoril Praia,2,2,Ended
04/10/2025,16:30,CD Nacional,Moreirense,3,2,Ended
04/10/2025,16:30,Gil Vicente,CF Estrela Amadora,2,0,Ended
04/10/2025,19:00,AVS - Futebol SAD,FC Alverca,1,3,Ended
04/10/2025,21:30,Vitória SC,Santa Clara,2,1,Ended
05/10/2025,16:30,FC Arouca,Famalicão,1,1,Ended
05/10/2025,18:30,Rio Ave,Tondela,3,0,Ended
05/10/2025,20:15,Sporting CP,Sporting Braga,1,1,Ended
05/10/2025,22:15,FC Porto,Benfica,0,0,Ended
