Data,Ora,Squadra Casa,Squadra Trasferta,Gol Casa,Gol Trasferta,Stato
29/08/2025,21:15,Gil Vicente,Moreirense,2,0,Ended
30/08/2025,16:30,Casa Pia,CD Nacional,0,2,Ended
30/08/2025,19:00,AVS - Futebol SAD,Famalicão,0,1,Ended
30/08/2025,19:00,Vitória SC,FC Arouca,1,1,Ended
30/08/2025,21:30,Sporting CP,FC Porto,1,2,Ended
31/08/2025,16:30,Tondela,Estoril Praia,2,2,Ended
31/08/2025,19:00,FC Alverca,Benfica,1,2,Ended
31/08/2025,21:30,Rio Ave,Sporting Braga,2,2,Ended
31/08/2025,21:30,Santa Clara,CF Estrela Amadora,0,0,Ended
