Data,Ora,Squadra Casa,Squadra Trasferta,Gol Casa,Gol Trasferta,Stato
24/10/2025,21:15,FC Alverca,Gil Vicente,0,4,Ended
25/10/2025,19:00,Santa Clara,AVS - Futebol SAD,2,0,Ended
25/10/2025,21:30,Benfica,FC Arouca,5,0,Ended
25/10/2025,21:30,CF Estrela Amadora,Rio Ave,1,2,Ended
26/10/2025,16:30,Estoril Praia,CD Nacional,1,1,Ended
26/10/2025,16:30,Famalicão,Vitória SC,2,0,Ended
26/10/2025,19:00,Tondela,Sporting CP,0,3,Ended
26/10/2025,21:30,Sporting Braga,Casa Pia,4,0,Ended
27/10/2025,21:15,Moreirense,FC Porto,1,2,Ended
