Nome Squadra,Partite con Somma Gol >= 3,Gol Fatti,Gol Subiti
Sporting CP,14,54,11
FC Arouca,14,23,44
Sporting Braga,14,41,18
AVS - Futebol SAD,13,14,51
Rio Ave,13,22,38
Estoril Praia,13,41,33
Benfica,12,42,11
FC Alverca,12,20,34
Casa Pia,12,22,39
CD Nacional,11,27,30
Tondela,11,12,33
FC Porto,11,41,6
CF Estrela Amadora,11,24,37
Moreirense,11,26,27
Famalicão,8,24,19
Gil Vicente,8,29,16
Santa Clara,8,16,25
Vitória SC,8,21,27
