Nome Squadra,Partite con Somma Gol >= 3,Gol Fatti,Gol Subiti
Olympique de Marseille,12,44,20
Metz,12,21,45
RC Lens,12,33,16
AS Monaco,11,28,33
Stade Brestois,11,24,31
Nice,11,25,36
RC Strasbourg,11,32,23
Paris FC,11,24,32
Olympique Lyonnais,11,32,20
Stade Rennais,11,30,27
Toulouse,10,31,23
Paris Saint-Germain,9,41,15
Lille,9,34,29
Nantes,9,18,34
Lorient,8,25,30
Le Havre,7,16,24
Auxerre,7,14,29
Angers,6,20,25
