Data,Ora,Squadra Casa,Squadra Trasferta,Gol Casa,Gol Trasferta,Stato
12/12/2025,20:45,Angers,Nantes,4,1,Ended
13/12/2025,17:00,Stade Rennais,Stade Brestois,3,1,Ended
13/12/2025,19:00,Metz,Paris Saint-Germain,2,3,Ended
13/12/2025,21:05,Paris FC,Toulouse,0,3,Ended
14/12/2025,15:00,Olympique Lyonnais,Le Havre,1,0,Ended
14/12/2025,17:15,Auxerre,Lille,3,4,Ended
14/12/2025,17:15,RC Lens,Nice,2,0,Ended
14/12/2025,17:15,RC Strasbourg,Lorient,0,0,Ended
14/12/2025,20:45,Olympique de Marseille,AS Monaco,1,0,Ended
