Data,Ora,Squadra Casa,Squadra Trasferta,Gol Casa,Gol Trasferta,Stato
12/09/2025,20:45,Olympique de Marseille,Lorient,4,0,Ended
13/09/2025,17:00,Nice,Nantes,1,0,Ended
13/09/2025,21:05,Auxerre,AS Monaco,1,2,Ended
14/09/2025,15:00,Lille,Toulouse,2,1,Ended
14/09/2025,17:15,Metz,Angers,1,1,Ended
14/09/2025,17:15,Paris Saint-Germain,RC Lens,2,0,Ended
14/09/2025,17:15,RC Strasbourg,Le Havre,1,0,Ended
14/09/2025,17:15,Stade Brestois,Paris FC,1,2,Ended
14/09/2025,20:45,Stade Rennais,Olympique Lyonnais,3,1,Ended
