Data,Ora,Squadra Casa,Squadra Trasferta,Gol Casa,Gol Trasferta,Stato
28/11/2025,20:45,Metz,Stade Rennais,0,1,Ended
29/11/2025,17:00,AS Monaco,Paris Saint-Germain,1,0,Ended
29/11/2025,19:00,Paris FC,Auxerre,1,1,Ended
29/11/2025,21:05,Olympique de Marseille,Toulouse,2,2,Ended
30/11/2025,15:00,RC Strasbourg,Stade Brestois,1,2,Ended
30/11/2025,17:15,Angers,RC Lens,1,2,Ended
30/11/2025,17:15,Le Havre,Lille,0,1,Ended
30/11/2025,17:15,Lorient,Nice,3,1,Ended
30/11/2025,20:45,Olympique Lyonnais,Nantes,3,0,Ended
