Data,Ora,Squadra Casa,Squadra Trasferta,Gol Casa,Gol Trasferta,Stato
19/09/2025,20:45,Olympique Lyonnais,Angers,1,0,Ended
20/09/2025,17:00,Nantes,Stade Rennais,2,2,Ended
20/09/2025,19:00,Stade Brestois,Nice,4,1,Ended
20/09/2025,21:05,RC Lens,Lille,3,0,Ended
21/09/2025,15:00,Paris FC,RC Strasbourg,2,3,Ended
21/09/2025,17:15,AS Monaco,Metz,5,2,Ended
21/09/2025,17:15,Auxerre,Toulouse,1,0,Ended
21/09/2025,17:15,Le Havre,Lorient,1,1,Ended
22/09/2025,20:00,Olympique de Marseille,Paris Saint-Germain,1,0,Ended
