Data,Ora,Squadra Casa,Squadra Trasferta,Gol Casa,Gol Trasferta,Stato
20/12/2025,13:30,Newcastle United,Chelsea,2,2,Ended
20/12/2025,16:00,Bournemouth,Burnley,1,1,Ended
20/12/2025,16:00,Brighton & Hove Albion,Sunderland,0,0,Ended
20/12/2025,16:00,Manchester City,West Ham United,3,0,Ended
20/12/2025,16:00,Wolverhampton,Brentford,0,2,Ended
20/12/2025,18:30,Tottenham Hotspur,Liverpool,1,2,Ended
20/12/2025,21:00,Everton,Arsenal,0,1,Ended
20/12/2025,21:00,Leeds United,Crystal Palace,4,1,Ended
21/12/2025,17:30,Aston Villa,Manchester United,2,1,Ended
22/12/2025,21:00,Fulham,Nottingham Forest,1,0,Ended
