Data,Ora,Squadra Casa,Squadra Trasferta,Gol Casa,Gol Trasferta,Stato
22/08/2025,21:00,West Ham United,Chelsea,1,5,Ended
23/08/2025,13:30,Manchester City,Tottenham Hotspur,0,2,Ended
23/08/2025,16:00,Bournemouth,Wolverhampton,1,0,Ended
23/08/2025,16:00,Brentford,Aston Villa,1,0,Ended
23/08/2025,16:00,Burnley,Sunderland,2,0,Ended
23/08/2025,18:30,Arsenal,Leeds United,5,0,Ended
24/08/2025,15:00,Crystal Palace,Nottingham Forest,1,1,Ended
24/08/2025,15:00,Everton,Brighton & Hove Albion,2,0,Ended
24/08/2025,17:30,Fulham,Manchester United,1,1,Ended
25/08/2025,21:00,Newcastle United,Liverpool,2,3,Ended
