Data,Ora,Squadra Casa,Squadra Trasferta,Gol Casa,Gol Trasferta,Stato
03/01/2026,13:30,Aston Villa,Nottingham Forest,3,1,Ended
03/01/2026,16:00,Brighton & Hove Albion,Burnley,2,0,Ended
03/01/2026,16:00,Wolverhampton,West Ham United,3,0,Ended
03/01/2026,18:30,Bournemouth,Arsenal,2,3,Ended
04/01/2026,13:30,Leeds United,Manchester United,1,1,Ended
04/01/2026,16:00,Everton,Brentford,2,4,Ended
04/01/2026,16:00,Newcastle United,Crystal Palace,2,0,Ended
04/01/2026,16:00,Tottenham Hotspur,Sunderland,1,1,Ended
04/01/2026,16:15,Fulham,Liverpool,2,2,Ended
04/01/2026,18:30,Manchester City,Chelsea,1,1,Ended
