Data,Ora,Squadra Casa,Squadra Trasferta,Gol Casa,Gol Trasferta,Stato
26/12/2025,21:00,Manchester United,Newcastle United,1,0,Ended
27/12/2025,13:30,Nottingham Forest,Manchester City,1,2,Ended
27/12/2025,16:00,Arsenal,Brighton & Hove Albion,2,1,Ended
27/12/2025,16:00,Brentford,Bournemouth,4,1,Ended
27/12/2025,16:00,Burnley,Everton,0,0,Ended
27/12/2025,16:00,Liverpool,Wolverhampton,2,1,Ended
27/12/2025,16:00,West Ham United,Fulham,0,1,Ended
27/12/2025,18:30,Chelsea,Aston Villa,1,2,Ended
28/12/2025,15:00,Sunderland,Leeds United,1,1,Ended
28/12/2025,17:30,Crystal Palace,Tottenham Hotspur,0,1,Ended
