Data,Ora,Squadra Casa,Squadra Trasferta,Gol Casa,Gol Trasferta,Stato
29/11/2025,16:00,Brentford,Burnley,3,1,Ended
29/11/2025,16:00,Manchester City,Leeds United,3,2,Ended
29/11/2025,16:00,Sunderland,Bournemouth,3,2,Ended
29/11/2025,18:30,Everton,Newcastle United,1,4,Ended
29/11/2025,21:00,Tottenham Hotspur,Fulham,1,2,Ended
30/11/2025,13:00,Crystal Palace,Manchester United,1,2,Ended
30/11/2025,15:05,Aston Villa,Wolverhampton,1,0,Ended
30/11/2025,15:05,Nottingham Forest,Brighton & Hove Albion,0,2,Ended
30/11/2025,15:05,West Ham United,Liverpool,0,2,Ended
30/11/2025,17:30,Chelsea,Arsenal,1,1,Ended
