Data,Ora,Squadra Casa,Squadra Trasferta,Gol Casa,Gol Trasferta,Stato
06/12/2025,13:30,Aston Villa,Arsenal,2,1,Ended
06/12/2025,16:00,Bournemouth,Chelsea,0,0,Ended
06/12/2025,16:00,Everton,Nottingham Forest,3,0,Ended
06/12/2025,16:00,Manchester City,Sunderland,3,0,Ended
06/12/2025,16:00,Newcastle United,Burnley,2,1,Ended
06/12/2025,16:00,Tottenham Hotspur,Brentford,2,0,Ended
06/12/2025,18:30,Leeds United,Liverpool,3,3,Ended
07/12/2025,15:00,Brighton & Hove Albion,West Ham United,1,1,Ended
07/12/2025,17:30,Fulham,Crystal Palace,1,2,Ended
08/12/2025,21:00,Wolverhampton,Manchester United,1,4,Ended
