Data,Ora,Squadra Casa,Squadra Trasferta,Gol Casa,Gol Trasferta,Stato
03/10/2025,21:00,Bournemouth,Fulham,3,1,Ended
04/10/2025,13:30,Leeds United,Tottenham Hotspur,1,2,Ended
04/10/2025,16:00,Arsenal,West Ham United,2,0,Ended
04/10/2025,16:00,Manchester United,Sunderland,2,0,Ended
04/10/2025,18:30,Chelsea,Liverpool,2,1,Ended
05/10/2025,15:00,Aston Villa,Burnley,2,1,Ended
05/10/2025,15:00,Everton,Crystal Palace,2,1,Ended
05/10/2025,15:00,Newcastle United,Nottingham Forest,2,0,Ended
05/10/2025,15:00,Wolverhampton,Brighton & Hove Albion,1,1,Ended
05/10/2025,17:30,Brentford,Manchester City,0,1,Ended
