Data,Ora,Squadra Casa,Squadra Trasferta,Gol Casa,Gol Trasferta,Stato
08/11/2025,13:30,Tottenham Hotspur,Manchester United,2,2,Ended
08/11/2025,16:00,Everton,Fulham,2,0,Ended
08/11/2025,16:00,West Ham United,Burnley,3,2,Ended
08/11/2025,18:30,Sunderland,Arsenal,2,2,Ended
08/11/2025,21:00,Chelsea,Wolverhampton,3,0,Ended
09/11/2025,15:00,Aston Villa,Bournemouth,4,0,Ended
09/11/2025,15:00,Brentford,Newcastle United,3,1,Ended
09/11/2025,15:00,Crystal Palace,Brighton & Hove Albion,0,0,Ended
09/11/2025,15:00,Nottingham Forest,Leeds United,3,1,Ended
09/11/2025,17:30,Manchester City,Liverpool,3,0,Ended
