Data,Ora,Squadra Casa,Squadra Trasferta,Gol Casa,Gol Trasferta,Stato
30/08/2025,13:30,Chelsea,Fulham,2,0,Ended
30/08/2025,16:00,Manchester United,Burnley,3,2,Ended
30/08/2025,16:00,Sunderland,Brentford,2,1,Ended
30/08/2025,16:00,Tottenham Hotspur,Bournemouth,0,1,Ended
30/08/2025,16:00,Wolverhampton,Everton,2,3,Ended
30/08/2025,18:30,Leeds United,Newcastle United,0,0,Ended
31/08/2025,15:00,Brighton & Hove Albion,Manchester City,2,1,Ended
31/08/2025,15:00,Nottingham Forest,West Ham United,0,3,Ended
31/08/2025,17:30,Liverpool,Arsenal,1,0,Ended
31/08/2025,20:00,Aston Villa,Crystal Palace,0,3,Ended
