Data,Ora,Squadra Casa,Squadra Trasferta,Gol Casa,Gol Trasferta,Stato
17/01/2026,13:30,Manchester United,Manchester City,2,0,Ended
17/01/2026,16:00,Chelsea,Brentford,2,0,Ended
17/01/2026,16:00,Leeds United,Fulham,1,0,Ended
17/01/2026,16:00,Liverpool,Burnley,1,1,Ended
17/01/2026,16:00,Sunderland,Crystal Palace,2,1,Ended
17/01/2026,16:00,Tottenham Hotspur,West Ham United,1,2,Ended
17/01/2026,18:30,Nottingham Forest,Arsenal,0,0,Ended
18/01/2026,15:00,Wolverhampton,Newcastle United,0,0,Ended
18/01/2026,17:30,Aston Villa,Everton,0,1,Ended
19/01/2026,21:00,Brighton & Hove Albion,Bournemouth,1,1,Ended
