Data,Ora,Squadra Casa,Squadra Trasferta,Gol Casa,Gol Trasferta,Stato
30/12/2025,20:30,Burnley,Newcastle United,1,3,Ended
30/12/2025,20:30,Chelsea,Bournemouth,2,2,Ended
30/12/2025,20:30,Nottingham Forest,Everton,0,2,Ended
30/12/2025,20:30,West Ham United,Brighton & Hove Albion,2,2,Ended
30/12/2025,21:15,Arsenal,Aston Villa,4,1,Ended
30/12/2025,21:15,Manchester United,Wolverhampton,1,1,Ended
01/01/2026,18:30,Crystal Palace,Fulham,1,1,Ended
01/01/2026,18:30,Liverpool,Leeds United,0,0,Ended
01/01/2026,21:00,Brentford,Tottenham Hotspur,0,0,Ended
01/01/2026,21:00,Sunderland,Manchester City,0,0,Ended
