Data,Ora,Squadra Casa,Squadra Trasferta,Gol Casa,Gol Trasferta,Stato
27/09/2025,13:30,Brentford,Manchester United,3,1,Ended
27/09/2025,16:00,Chelsea,Brighton & Hove Albion,1,3,Ended
27/09/2025,16:00,Crystal Palace,Liverpool,2,1,Ended
27/09/2025,16:00,Leeds United,Bournemouth,2,2,Ended
27/09/2025,16:00,Manchester City,Burnley,5,1,Ended
27/09/2025,18:30,Nottingham Forest,Sunderland,0,1,Ended
27/09/2025,21:00,Tottenham Hotspur,Wolverhampton,1,1,Ended
28/09/2025,15:00,Aston Villa,Fulham,3,1,Ended
28/09/2025,17:30,Newcastle United,Arsenal,1,2,Ended
29/09/2025,21:00,Everton,West Ham United,1,1,Ended
