Data,Ora,Squadra Casa,Squadra Trasferta,Gol Casa,Gol Trasferta,Stato
06/01/2026,21:00,West Ham United,Nottingham Forest,1,2,Ended
07/01/2026,20:30,Bournemouth,Tottenham Hotspur,3,2,Ended
07/01/2026,20:30,Brentford,Sunderland,3,0,Ended
07/01/2026,20:30,Crystal Palace,Aston Villa,0,0,Ended
07/01/2026,20:30,Everton,Wolverhampton,1,1,Ended
07/01/2026,20:30,Fulham,Chelsea,2,1,Ended
07/01/2026,20:30,Manchester City,Brighton & Hove Albion,1,1,Ended
07/01/2026,21:15,Burnley,Manchester United,2,2,Ended
07/01/2026,21:15,Newcastle United,Leeds United,4,3,Ended
08/01/2026,21:00,Arsenal,Liverpool,0,0,Ended
