Data,Ora,Squadra Casa,Squadra Trasferta,Gol Casa,Gol Trasferta,Stato
13/09/2025,13:30,Arsenal,Nottingham Forest,3,0,Ended
13/09/2025,16:00,Bournemouth,Brighton & Hove Albion,2,1,Ended
13/09/2025,16:00,Crystal Palace,Sunderland,0,0,Ended
13/09/2025,16:00,Everton,Aston Villa,0,0,Ended
13/09/2025,16:00,Fulham,Leeds United,1,0,Ended
13/09/2025,16:00,Newcastle United,Wolverhampton,1,0,Ended
13/09/2025,18:30,West Ham United,Tottenham Hotspur,0,3,Ended
13/09/2025,21:00,Brentford,Chelsea,2,2,Ended
14/09/2025,15:00,Burnley,Liverpool,0,1,Ended
14/09/2025,17:30,Manchester City,Manchester United,3,0,Ended
