Data,Ora,Squadra Casa,Squadra Trasferta,Gol Casa,Gol Trasferta,Stato
24/01/2026,13:30,West Ham United,Sunderland,3,1,Ended
24/01/2026,16:00,Burnley,Tottenham Hotspur,2,2,Ended
24/01/2026,16:00,Fulham,Brighton & Hove Albion,2,1,Ended
24/01/2026,16:00,Manchester City,Wolverhampton,2,0,Ended
24/01/2026,18:30,Bournemouth,Liverpool,3,2,Ended
25/01/2026,15:00,Brentford,Nottingham Forest,0,2,Ended
25/01/2026,15:00,Crystal Palace,Chelsea,1,3,Ended
25/01/2026,15:00,Newcastle United,Aston Villa,0,2,Ended
25/01/2026,17:30,Arsenal,Manchester United,2,3,Ended
26/01/2026,21:00,Everton,Leeds United,1,1,Ended
