Data,Ora,Squadra Casa,Squadra Trasferta,Gol Casa,Gol Trasferta,Stato
15/08/2025,21:00,Liverpool,Bournemouth,4,2,Ended
16/08/2025,13:30,Aston Villa,Newcastle United,0,0,Ended
16/08/2025,16:00,Brighton & Hove Albion,Fulham,1,1,Ended
16/08/2025,16:00,Sunderland,West Ham United,3,0,Ended
16/08/2025,16:00,Tottenham Hotspur,Burnley,3,0,Ended
16/08/2025,18:30,Wolverhampton,Manchester City,0,4,Ended
17/08/2025,15:00,Chelsea,Crystal Palace,0,0,Ended
17/08/2025,15:00,Nottingham Forest,Brentford,3,1,Ended
17/08/2025,17:30,Manchester United,Arsenal,0,1,Ended
18/08/2025,21:00,Leeds United,Everton,1,0,Ended
