Data,Ora,Squadra Casa,Squadra Trasferta,Gol Casa,Gol Trasferta,Stato
02/12/2025,20:30,Bournemouth,Everton,0,1,Ended
02/12/2025,20:30,Fulham,Manchester City,4,5,Ended
02/12/2025,21:15,Newcastle United,Tottenham Hotspur,2,2,Ended
03/12/2025,20:30,Arsenal,Brentford,2,0,Ended
03/12/2025,20:30,Brighton & Hove Albion,Aston Villa,3,4,Ended
03/12/2025,20:30,Burnley,Crystal Palace,0,1,Ended
03/12/2025,20:30,Wolverhampton,Nottingham Forest,0,1,Ended
03/12/2025,21:15,Leeds United,Chelsea,3,1,Ended
03/12/2025,21:15,Liverpool,Sunderland,1,1,Ended
04/12/2025,21:00,Manchester United,West Ham United,1,1,Ended
