Data,Ora,Squadra Casa,Squadra Trasferta,Gol Casa,Gol Trasferta,Stato
20/09/2025,13:30,Liverpool,Everton,2,1,Ended
20/09/2025,16:00,Brighton & Hove Albion,Tottenham Hotspur,2,2,Ended
20/09/2025,16:00,Burnley,Nottingham Forest,1,1,Ended
20/09/2025,16:00,West Ham United,Crystal Palace,1,2,Ended
20/09/2025,16:00,Wolverhampton,Leeds United,1,3,Ended
20/09/2025,18:30,Manchester United,Chelsea,2,1,Ended
20/09/2025,21:00,Fulham,Brentford,3,1,Ended
21/09/2025,15:00,Bournemouth,Newcastle United,0,0,Ended
21/09/2025,15:00,Sunderland,Aston Villa,1,1,Ended
21/09/2025,17:30,Arsenal,Manchester City,1,1,Ended
