Data,Ora,Squadra Casa,Squadra Trasferta,Gol Casa,Gol Trasferta,Stato
13/12/2025,16:00,Chelsea,Everton,2,0,Ended
13/12/2025,16:00,Liverpool,Brighton & Hove Albion,2,0,Ended
13/12/2025,18:30,Burnley,Fulham,2,3,Ended
13/12/2025,21:00,Arsenal,Wolverhampton,2,1,Ended
14/12/2025,15:00,Crystal Palace,Manchester City,0,3,Ended
14/12/2025,15:00,Nottingham Forest,Tottenham Hotspur,3,0,Ended
14/12/2025,15:00,Sunderland,Newcastle United,1,0,Ended
14/12/2025,15:00,West Ham United,Aston Villa,2,3,Ended
14/12/2025,17:30,Brentford,Leeds United,1,1,Ended
15/12/2025,21:00,Manchester United,Bournemouth,4,4,Ended
